Company Name,Business Area,product,Cell type (source/target),vertical,Stage of development ,Location, Market Cap,Notable Partnerships/Deals
RoslinCT,Cell/Gene Therapy Manufacturing,GMP manufacturing,N/A,manufacturing,GMP licensed facility,UK,<100M,Industry collaborations
SCM Lifescience,Regenerative Medicine,cells,MSC and iPSCs,therapeutics,clinical,SK,<60M,Research collaborations
Secarna Pharmaceuticals,ASO by AI ,oligo design ,N/A,therapeutics,clinical,Germany,N/A,Research collaboration 
Serina Therapeutics,Delivery of RNA,RNA,N/A,therapeutics,preclinical ,US,<50M,Research collaborations
SH Clinic,"women's health, pain and plastic surgery",cells,N/A,therapeutics,N/A,SK,N/A,N/A
SkinMedica (Allergan),Medical Skincare,growth factor-serum,human dermal fibroblasts,cosmeceuticals,Cosmetic products,US,N/A,Aquisition 
SkinSEQNC™,Cosmetic products,exosomes,HUC-MSC,cosmeceuticals,Cosmetic products,"CA, APAC",N/A,N/A
Stempeutics Research Pvt Ltd,MSC for therapeutic and cosmetics use,cells,BM-MSC,"therapeutics, cosemeceuticals",Clinical and R&D,India,N/A,N/A
StemSight,iPSC for corneal regeneration ,cells in matrice,limbal stem cells,regenerative medicine,preclinical ,Finland,N/A,Licensing
Swiss Derma clinic,Skin and hair rejuvenation clinic,plant exosomes,rose stem cells,cosmeceuticals,N/A,Switzerland,N/A,N/A
Swiss Medexperts,Stem cell therapy rejuvenation clinics,cells,"HUC-MSC, adipose-derived MSC, HSC",cosmeceuticals,N/A. Anti aging treatments ,N/A,N/A,N/A
Swiss Medica,Regenerative stem cell therapies,cells,MSC - various sources,cosmeceuticals,N/A. clinics in Slovenia and Serbia,"Switzerland, Slovenia, Serbia",<10M,Commercial collaboartions
Swiss Stem Cells Biotech SA,Cord blood cell biobank,cell banking services,"HUC-MSC, adipose-derived MSC",therapeutics,Cord blood certified and GMP,"Switzerland, Italy",N/A,Private clinics
Takara Bio,"Cell/Gene Manufacturing, Tools",GMP manufacturing,N/A,manufacturing,Multiple product approvals,Japan,<500M,Research collaboration 
Turn Biotechnologies,Epigenetic Reprogramming,mRNA cocktail,N/A,therapeutics,preclinical ,US,<60M,Research collaborations
Unity Biotechnology,Senolytic Medicines,small molecules,N/A,therapeutics,clinical,US,<20M,Research collaborations
Versatope Therapeutics,Bacterial exosome Vaccines,exosomes,probiotic bacteria,vaccines,preclinical ,US,<30M,N/A
VivaBioCell,Regenerative Medicine Technologies,GMP manufacturing,N/A,regenerative medicine,CE marked systems,Italy,<20$,N/A
Zeo Scientifix,"Therapeutics, cosmeceuticals",exosomes,N/A,"therapeutics, cosmeceuticals",clinical ,US,<15M,Commercial and research
